epoch	loss	accuracy	solved	dataset
64	0.38337535	0.96789914	0.72227776	test
64	0.38179982	0.9697288	0.73112226	train
65	0.38473	0.9686392	0.7385	test
65	0.38147932	0.9697496	0.73234445	train
66	0.38432765	0.96786076	0.72044444	test
66	0.3811307	0.970066	0.73256665	train
67	0.387272	0.96779287	0.7352778	test
67	0.3812831	0.9699683	0.73251665	train
68	0.38726458	0.9665432	0.71894443	test
68	0.38129336	0.9699018	0.73201114	train
69	0.3823412	0.96930385	0.731	test
69	0.38082072	0.97016084	0.7339445	train
70	0.38408062	0.96706927	0.71216667	test
70	0.38060266	0.97033966	0.7346945	train
71	0.38840023	0.96597666	0.722	test
71	0.38055724	0.9702807	0.7342333	train
72	0.38384646	0.96862483	0.7404445	test
72	0.38070703	0.97024715	0.7336389	train
73	0.38185284	0.9691296	0.7326111	test
73	0.38079563	0.9702417	0.73463887	train
74	0.3979615	0.96048355	0.67072225	test
74	0.37993568	0.9706283	0.7368167	train
75	0.382869	0.96935457	0.7367778	test
75	0.3799752	0.97067326	0.73656666	train
76	0.38195422	0.9699815	0.74583334	test
76	0.37966713	0.9707713	0.7366	train
77	0.3853342	0.96596086	0.7023889	test
77	0.38003144	0.9705869	0.73659444	train
78	0.3835343	0.9685809	0.72794443	test
78	0.37956563	0.9708162	0.7376778	train
79	0.38223094	0.9698388	0.7433889	test
79	0.37997612	0.9706575	0.7369778	train
80	0.3818283	0.9689787	0.73377776	test
80	0.379095	0.9711284	0.7384	train
81	0.38196263	0.9698621	0.74622226	test
81	0.37917912	0.9710302	0.73838335	train
82	0.3830546	0.9692887	0.74233335	test
82	0.379303	0.97088784	0.73791665	train
83	0.3805497	0.9700322	0.73377776	test
83	0.3785567	0.9713595	0.73946667	train
84	0.38106567	0.9694657	0.7272222	test
84	0.378829	0.9711535	0.7390444	train
85	0.37922913	0.97044444	0.7373889	test
85	0.37862378	0.9713569	0.7400778	train
86	0.38046807	0.9705967	0.74355555	test
86	0.37898645	0.9711276	0.73848337	train
87	0.3811857	0.9697702	0.7332778	test
87	0.37844846	0.97141707	0.7402111	train
88	0.38090777	0.97098285	0.74755555	test
88	0.37835076	0.9715202	0.7415611	train
89	0.38052016	0.97059464	0.7415	test
89	0.37810943	0.97172546	0.74204445	train
90	0.38350275	0.9681811	0.7258889	test
90	0.37779036	0.97177947	0.74233335	train
91	0.38212407	0.96941286	0.7371111	test
91	0.37801144	0.9716747	0.7420222	train
92	0.3802539	0.9699897	0.73583335	test
92	0.37824133	0.9714963	0.7400611	train
93	0.3830652	0.96959877	0.74144447	test
93	0.37784067	0.9717257	0.74168336	train
94	0.37933895	0.9704664	0.7365	test
94	0.3774274	0.9719473	0.7421833	train
95	0.38307613	0.9689225	0.7252778	test
95	0.37741575	0.9719426	0.74312776	train
96	0.38003442	0.9706591	0.7441111	test
96	0.3776968	0.9718504	0.74176115	train
97	0.3795891	0.97071534	0.7436111	test
97	0.3772583	0.9720542	0.7436	train
98	0.3862933	0.9670542	0.7224445	test
98	0.3774565	0.9719758	0.7431889	train
99	0.38061997	0.9699835	0.7387222	test
99	0.37724283	0.9721144	0.7433389	train
100	0.37793002	0.9712942	0.74266666	test
100	0.37735254	0.9720374	0.7433722	train
