train_size	epoch	loss	accuracy	probability
25	0	2.20477294921875	0.0	0.11008239537477493
25	10	1.7806285619735718	0.28999999165534973	0.18705661594867706
25	20	1.5497387647628784	0.3100000023841858	0.23518992960453033
25	30	1.474891185760498	0.28999999165534973	0.24835647642612457
25	40	1.4345442056655884	0.3100000023841858	0.25938305258750916
25	50	1.4091030359268188	0.3100000023841858	0.2649679183959961
25	60	1.3885700702667236	0.3100000023841858	0.2659507989883423
25	70	1.3688788414001465	0.3100000023841858	0.2645144462585449
25	80	1.3564413785934448	0.29999998211860657	0.2658587694168091
25	90	1.3403031826019287	0.28999999165534973	0.26795461773872375
25	100	1.3268383741378784	0.32999998331069946	0.276599645614624
25	110	1.332694411277771	0.1899999976158142	0.2452036738395691
25	120	1.311109185218811	0.28999999165534973	0.26393499970436096
25	130	1.301300048828125	0.3100000023841858	0.2649421989917755
25	140	1.299872875213623	0.3100000023841858	0.26706159114837646
25	150	1.3426721096038818	0.3100000023841858	0.29004207253456116
25	160	1.2792381048202515	0.3100000023841858	0.2753196358680725
25	170	1.2620999813079834	0.38999998569488525	0.2956996560096741
25	180	1.2795982360839844	0.3100000023841858	0.2706648111343384
25	190	1.2598390579223633	0.3100000023841858	0.2741546630859375
25	200	1.2159645557403564	0.3799999952316284	0.30147209763526917
25	210	1.2843577861785889	0.28999999165534973	0.26262998580932617
25	220	1.284460425376892	0.3100000023841858	0.2805224061012268
25	230	1.1699401140213013	0.4599999785423279	0.30632561445236206
25	240	1.121658205986023	0.47999998927116394	0.3543160855770111
25	250	1.064953327178955	0.44999998807907104	0.3672710359096527
25	260	1.1377110481262207	0.41999998688697815	0.3492906093597412
25	270	1.0617939233779907	0.41999998688697815	0.3526016175746918
25	280	1.0073550939559937	0.44999998807907104	0.36984968185424805
25	290	0.9655987620353699	0.4099999964237213	0.35869139432907104
25	300	0.9420925378799438	0.41999998688697815	0.3666982054710388
25	310	0.9182385802268982	0.4099999964237213	0.36154037714004517
25	320	1.0731121301651	0.3999999761581421	0.358832985162735
25	330	1.0021371841430664	0.3999999761581421	0.3720293343067169
25	340	0.9206008315086365	0.41999998688697815	0.3835883140563965
25	350	0.9136865735054016	0.3799999952316284	0.3726358711719513
25	360	0.8639033436775208	0.3999999761581421	0.368761271238327
25	370	0.8266102075576782	0.429999977350235	0.3742471933364868
25	380	0.8076326251029968	0.4099999964237213	0.3754802644252777
25	390	1.019252896308899	0.4899999797344208	0.426310658454895
25	400	0.9645728468894958	0.41999998688697815	0.36554470658302307
25	410	0.8791983127593994	0.41999998688697815	0.3609482944011688
25	420	0.8440287113189697	0.41999998688697815	0.3740376830101013
25	430	0.841105580329895	0.38999998569488525	0.3698982298374176
25	440	0.8005633354187012	0.3700000047683716	0.3652929663658142
25	450	0.7346711158752441	0.4099999964237213	0.3830837309360504
25	460	0.7067003846168518	0.3700000047683716	0.3719303011894226
25	470	0.6850185394287109	0.38999998569488525	0.3681319057941437
25	480	0.6813141703605652	0.3799999952316284	0.3798825442790985
25	490	0.668487548828125	0.38999998569488525	0.36098745465278625
25	500	0.6453836560249329	0.3700000047683716	0.38600149750709534
25	510	0.6751750707626343	0.5	0.4459165930747986
25	520	0.6425487399101257	0.429999977350235	0.4271993041038513
25	530	0.5736593008041382	0.41999998688697815	0.3789299726486206
25	540	0.6565877795219421	0.4099999964237213	0.4080430269241333
25	550	0.5955674052238464	0.4699999988079071	0.4431384801864624
25	560	0.5609251856803894	0.44999998807907104	0.4679650366306305
25	570	0.5073988437652588	0.4599999785423279	0.468919962644577
25	580	0.47890105843544006	0.429999977350235	0.4663114547729492
25	590	0.46042880415916443	0.47999998927116394	0.46582284569740295
25	600	0.42894256114959717	0.5199999809265137	0.4793073832988739
25	610	0.40177395939826965	0.44999998807907104	0.4477728307247162
25	620	1.2562079429626465	0.5199999809265137	0.48578551411628723
25	630	1.0027867555618286	0.4399999976158142	0.41470855474472046
25	640	0.8940865397453308	0.4899999797344208	0.43531814217567444
25	650	0.8107282519340515	0.47999998927116394	0.42634397745132446
25	660	0.7226715087890625	0.47999998927116394	0.45159903168678284
25	670	0.6935217976570129	0.47999998927116394	0.42891639471054077
25	680	0.9380360245704651	0.4099999964237213	0.40832793712615967
25	690	0.7331284284591675	0.4699999988079071	0.4389604926109314
25	700	0.6993406414985657	0.47999998927116394	0.46830591559410095
25	710	0.6093656420707703	0.4899999797344208	0.45578765869140625
25	720	0.5588870644569397	0.4599999785423279	0.4506693482398987
25	730	0.8124999403953552	0.4699999988079071	0.43570441007614136
25	740	0.9246990084648132	0.4099999964237213	0.41642478108406067
25	750	0.7966998219490051	0.429999977350235	0.41089701652526855
