train_size	epoch	loss	tr_accuracy	tr_probability	v_accuracy	v_probability
25	0	2.1972293853759766	0.0	0.11110171675682068	0.0	0.11110275983810425
25	1	2.1973053216934204	0.0	0.11108306795358658	0.0	0.11108392477035522
25	2	2.1972553730010986	0.07999999821186066	0.11110717803239822	0.0	0.1111021563410759
25	3	2.197180986404419	0.7199999690055847	0.11114036291837692	0.7599999904632568	0.11114093661308289
25	4	2.197175145149231	0.0	0.11111772060394287	0.0	0.11112043261528015
25	5	2.1970839500427246	0.07999999821186066	0.11111591011285782	0.0	0.11111097037792206
25	6	2.196854829788208	0.1599999964237213	0.11117121577262878	0.1599999964237213	0.11116601526737213
25	7	2.196500778198242	0.19999998807907104	0.11123739182949066	0.1599999964237213	0.11122304946184158
25	8	2.195595145225525	0.2800000011920929	0.11146815866231918	0.35999998450279236	0.11143603920936584
25	9	2.194056272506714	0.2800000011920929	0.1118500679731369	0.35999998450279236	0.11179503798484802
25	10	2.1920833587646484	0.35999998450279236	0.1123657077550888	0.35999998450279236	0.11230669915676117
25	11	2.1903693675994873	0.5999999642372131	0.11275094747543335	0.6499999761581421	0.1127244159579277
25	12	2.189544916152954	0.7599999904632568	0.11282312870025635	0.7799999713897705	0.1128232330083847
25	13	2.1890758275985718	0.7599999904632568	0.11267434805631638	0.7899999618530273	0.11269359290599823
25	14	2.1897393465042114	0.7599999904632568	0.11240489780902863	0.7899999618530273	0.1124308630824089
25	15	2.190898060798645	0.7599999904632568	0.11209258437156677	0.8100000023841858	0.11211884021759033
25	16	2.1921743154525757	0.7599999904632568	0.11180763691663742	0.8299999833106995	0.11182990670204163
25	17	2.1931649446487427	0.7599999904632568	0.11156848818063736	0.8299999833106995	0.11158876121044159
25	18	2.1939507722854614	0.7199999690055847	0.11137387901544571	0.8399999737739563	0.11139171570539474
25	19	2.194570302963257	0.0	0.11121734231710434	0.0	0.11123215407133102
25	20	2.1951717138290405	0.0	0.11109651625156403	0.0	0.11110760271549225
25	21	2.1956456899642944	0.0	0.11100905388593674	0.0	0.11101679503917694
25	22	2.1958729028701782	0.0	0.11095750331878662	0.0	0.11096127331256866
25	23	2.1959080696105957	0.0	0.11094997823238373	0.0	0.11094819754362106
25	24	2.1957966089248657	0.0	0.11099561303853989	0.0	0.11098795384168625
25	25	2.195666551589966	0.0	0.11107900738716125	0.0	0.11106982082128525
25	26	2.1955899000167847	0.2800000011920929	0.11115662008523941	0.3700000047683716	0.11115095764398575
25	27	2.1955339908599854	0.2800000011920929	0.11119301617145538	0.3799999952316284	0.11119159311056137
25	28	2.195548415184021	0.35999998450279236	0.11119794845581055	0.429999977350235	0.111198291182518
25	29	2.195615768432617	0.35999998450279236	0.1111922562122345	0.4399999976158142	0.11119294166564941
25	30	2.1956571340560913	0.0	0.11118456721305847	0.03999999910593033	0.11118529736995697
25	31	2.1957240104675293	0.0	0.11117734760046005	0.0	0.11117799580097198
25	32	2.1958078145980835	0.0	0.11117122322320938	0.0	0.11117175966501236
25	33	2.1958718299865723	0.0	0.11116630584001541	0.0	0.11116671562194824
25	34	2.195915460586548	0.0	0.11116240918636322	0.0	0.11116274446249008
25	35	2.19598388671875	0.0	0.11115936189889908	0.0	0.11115963011980057
25	36	2.1960262060165405	0.0	0.1111569032073021	0.0	0.11115712672472
25	37	2.1960654258728027	0.0	0.11115482449531555	0.0	0.11115501821041107
25	38	2.1961060762405396	0.0	0.11115299165248871	0.0	0.11115317046642303
25	39	2.1961387395858765	0.0	0.1111513003706932	0.0	0.11115146428346634
25	40	2.196168899536133	0.0	0.11114969104528427	0.0	0.111149862408638
25	41	2.1961992979049683	0.0	0.11114814877510071	0.0	0.11114829778671265
25	42	2.1962190866470337	0.0	0.11114663630723953	0.0	0.11114677786827087
25	43	2.1962437629699707	0.0	0.11114520579576492	0.0	0.11114534735679626
25	44	2.196264147758484	0.0	0.11114382743835449	0.0	0.11114396154880524
25	45	2.1962839365005493	0.0	0.11114250868558884	0.0	0.11114263534545898
25	46	2.1963075399398804	0.0	0.11114124953746796	0.0	0.1111413761973381
25	47	2.1963239908218384	0.0	0.11114004254341125	0.0	0.11114015430212021
25	48	2.1963473558425903	0.0	0.11113887280225754	0.0	0.11113899201154709
25	49	2.1963722705841064	0.0	0.1111377477645874	0.0	0.11113786697387695
25	50	2.1963999271392822	0.0	0.11113667488098145	0.0	0.1111367791891098
25	51	2.196423649787903	0.0	0.11113563179969788	0.0	0.11113575100898743
25	52	2.1964462995529175	0.0	0.11113466322422028	0.0	0.11113475263118744
25	53	2.1964675188064575	0.0	0.11113370954990387	0.0	0.11113379895687103
25	54	2.1964856386184692	0.0	0.11113282293081284	0.0	0.1111329048871994
25	55	2.1965034008026123	0.0	0.11113197356462479	0.0	0.11113204807043076
25	56	2.1965208053588867	0.0	0.11113119125366211	0.0	0.11113126575946808
25	57	2.196535348892212	0.0	0.11113044619560242	0.0	0.11113052070140839
25	58	2.1965495347976685	0.0	0.1111297756433487	0.0	0.11112983524799347
25	59	2.196565270423889	0.0	0.11112914979457855	0.0	0.11112920194864273
25	60	2.196576237678528	0.0	0.1111285537481308	0.0	0.11112862080335617
25	61	2.1965854167938232	0.0	0.11112803965806961	0.0	0.11112809181213379
25	62	2.196597695350647	0.0	0.11112756282091141	0.0	0.11112761497497559
