xtype	sim_id	trial	strategy	p
discrete	9	6	0	0.0
discrete	9	6	1	0.0
discrete	9	6	2	0.0
discrete	9	6	3	1.0
discrete	9	7	0	0.0
discrete	9	7	1	0.0
discrete	9	7	2	0.0
discrete	9	7	3	1.0
discrete	9	8	0	0.0
discrete	9	8	1	0.0
discrete	9	8	2	0.0
discrete	9	8	3	1.0
discrete	9	9	0	0.0
discrete	9	9	1	0.0
discrete	9	9	2	0.0
discrete	9	9	3	1.0
discrete	9	10	0	0.0
discrete	9	10	1	0.0
discrete	9	10	2	0.0
discrete	9	10	3	1.0
discrete	9	11	0	0.0
discrete	9	11	1	0.0
discrete	9	11	2	0.0
discrete	9	11	3	1.0
discrete	9	12	0	0.0
discrete	9	12	1	0.0
discrete	9	12	2	0.0
discrete	9	12	3	1.0
discrete	9	13	0	0.0
discrete	9	13	1	0.0
discrete	9	13	2	0.0
discrete	9	13	3	1.0
discrete	9	14	0	0.0
discrete	9	14	1	0.0
discrete	9	14	2	0.0
discrete	9	14	3	1.0
discrete	9	15	0	0.0
discrete	9	15	1	0.0
discrete	9	15	2	0.0
discrete	9	15	3	1.0
discrete	9	16	0	0.0
discrete	9	16	1	0.0
discrete	9	16	2	0.0
discrete	9	16	3	1.0
discrete	9	17	0	0.0
discrete	9	17	1	0.0
discrete	9	17	2	0.0
discrete	9	17	3	1.0
discrete	9	18	0	0.0
discrete	9	18	1	0.0
discrete	9	18	2	0.0
discrete	9	18	3	1.0
discrete	9	19	0	0.0
discrete	9	19	1	0.0
discrete	9	19	2	0.0
discrete	9	19	3	1.0
discrete	9	20	0	0.0
discrete	9	20	1	0.0
discrete	9	20	2	0.0
discrete	9	20	3	1.0
discrete	9	21	0	0.0
discrete	9	21	1	0.0
discrete	9	21	2	0.0
discrete	9	21	3	1.0
discrete	9	22	0	0.0
discrete	9	22	1	0.0
discrete	9	22	2	0.0
