xtype	sim_id	trial	strategy	p
discrete	1	24	2	0.0
discrete	1	24	3	1.0
discrete	2	0	0	0.0
discrete	2	0	1	1.0
discrete	2	0	2	0.0
discrete	2	0	3	0.0
discrete	2	1	0	0.0
discrete	2	1	1	0.0
discrete	2	1	2	1.0
discrete	2	1	3	0.0
discrete	2	2	0	0.0
discrete	2	2	1	0.0
discrete	2	2	2	1.0
discrete	2	2	3	0.0
discrete	2	3	0	0.0
discrete	2	3	1	0.0
discrete	2	3	2	0.0
discrete	2	3	3	1.0
discrete	2	4	0	0.0
discrete	2	4	1	0.0
discrete	2	4	2	0.0
discrete	2	4	3	1.0
discrete	2	5	0	0.0
discrete	2	5	1	0.0
discrete	2	5	2	0.0
discrete	2	5	3	1.0
discrete	2	6	0	0.0
discrete	2	6	1	0.0
discrete	2	6	2	0.0
discrete	2	6	3	1.0
discrete	2	7	0	0.0
discrete	2	7	1	0.0
discrete	2	7	2	0.0
discrete	2	7	3	1.0
discrete	2	8	0	0.0
discrete	2	8	1	0.0
discrete	2	8	2	0.0
discrete	2	8	3	1.0
discrete	2	9	0	0.0
discrete	2	9	1	0.0
discrete	2	9	2	0.0
discrete	2	9	3	1.0
discrete	2	10	0	0.0
discrete	2	10	1	0.0
discrete	2	10	2	0.0
discrete	2	10	3	1.0
discrete	2	11	0	0.0
discrete	2	11	1	0.0
discrete	2	11	2	0.0
discrete	2	11	3	1.0
discrete	2	12	0	0.0
discrete	2	12	1	0.0
discrete	2	12	2	0.0
discrete	2	12	3	1.0
discrete	2	13	0	0.0
discrete	2	13	1	0.0
discrete	2	13	2	0.0
discrete	2	13	3	1.0
discrete	2	14	0	0.0
discrete	2	14	1	0.0
discrete	2	14	2	0.0
discrete	2	14	3	1.0
discrete	2	15	0	0.0
discrete	2	15	1	0.0
discrete	2	15	2	0.0
discrete	2	15	3	1.0
discrete	2	16	0	0.0
discrete	2	16	1	0.0
discrete	2	16	2	0.0
discrete	2	16	3	1.0
discrete	2	17	0	0.0
discrete	2	17	1	0.0
discrete	2	17	2	0.0
discrete	2	17	3	1.0
discrete	2	18	0	0.0
discrete	2	18	1	0.0
discrete	2	18	2	0.0
discrete	2	18	3	1.0
discrete	2	19	0	0.0
discrete	2	19	1	0.0
discrete	2	19	2	0.0
discrete	2	19	3	1.0
discrete	2	20	0	0.0
discrete	2	20	1	0.0
discrete	2	20	2	0.0
discrete	2	20	3	1.0
discrete	2	21	0	0.0
discrete	2	21	1	0.0
discrete	2	21	2	0.0
discrete	2	21	3	1.0
discrete	2	22	0	0.0
discrete	2	22	1	0.0
discrete	2	22	2	0.0
discrete	2	22	3	1.0
discrete	2	23	0	0.0
discrete	2	23	1	0.0
discrete	2	23	2	0.0
discrete	2	23	3	1.0
discrete	2	24	0	0.0
discrete	2	24	1	0.0
discrete	2	24	2	0.0
discrete	2	24	3	1.0
discrete	3	0	0	0.0
discrete	3	0	1	0.0
discrete	3	0	2	0.0
discrete	3	0	3	1.0
discrete	3	1	0	0.0
discrete	3	1	1	0.0
discrete	3	1	2	0.0
discrete	3	1	3	1.0
discrete	3	2	0	0.0
discrete	3	2	1	0.0
discrete	3	2	2	0.0
discrete	3	2	3	1.0
discrete	3	3	0	0.0
discrete	3	3	1	0.0
discrete	3	3	2	0.0
discrete	3	3	3	1.0
discrete	3	4	0	0.0
discrete	3	4	1	0.0
discrete	3	4	2	0.0
discrete	3	4	3	1.0
discrete	3	5	0	0.0
discrete	3	5	1	0.0
discrete	3	5	2	0.0
discrete	3	5	3	1.0
discrete	3	6	0	0.0
discrete	3	6	1	0.0
discrete	3	6	2	0.0
discrete	3	6	3	1.0
discrete	3	7	0	0.0
discrete	3	7	1	0.0
discrete	3	7	2	0.0
discrete	3	7	3	1.0
discrete	3	8	0	0.0
discrete	3	8	1	0.0
discrete	3	8	2	0.0
discrete	3	8	3	1.0
discrete	3	9	0	0.0
discrete	3	9	1	0.0
discrete	3	9	2	0.0
discrete	3	9	3	1.0
discrete	3	10	0	0.0
discrete	3	10	1	0.0
discrete	3	10	2	0.0
discrete	3	10	3	1.0
discrete	3	11	0	0.0
discrete	3	11	1	0.0
discrete	3	11	2	0.0
discrete	3	11	3	1.0
discrete	3	12	0	0.0
discrete	3	12	1	0.0
discrete	3	12	2	0.0
discrete	3	12	3	1.0
discrete	3	13	0	0.0
discrete	3	13	1	0.0
discrete	3	13	2	0.0
discrete	3	13	3	1.0
discrete	3	14	0	0.0
discrete	3	14	1	0.0
discrete	3	14	2	0.0
discrete	3	14	3	1.0
discrete	3	15	0	0.0
discrete	3	15	1	0.0
discrete	3	15	2	0.0
discrete	3	15	3	1.0
discrete	3	16	0	0.0
discrete	3	16	1	0.0
discrete	3	16	2	0.0
discrete	3	16	3	1.0
discrete	3	17	0	0.0
discrete	3	17	1	0.0
discrete	3	17	2	0.0
discrete	3	17	3	1.0
discrete	3	18	0	0.0
discrete	3	18	1	0.0
discrete	3	18	2	0.0
