sim	subject_id	nll	percentile	model
0	1	0.28325176	0.3181816	hmm
0	2	0.3419222	0.48442906	hmm
0	3	0.2837917	0.72468287	hmm
0	4	0.3079483	0.7234893	hmm
0	5	0.28379434	0.6387171	hmm
0	6	0.2933604	0.22424585	hmm
0	7	0.28382874	0.60749704	hmm
0	8	0.30438638	0.4019888	hmm
0	9	0.30537072	0.6201954	hmm
0	10	0.29067665	0.22926007	hmm
0	11	0.28908652	0.044366162	hmm
0	12	0.2906739	0.1460338	hmm
0	13	2.4893014	0.75744975	hmm
0	14	5.1904645	0.9569545	hmm
0	15	0.3819471	0.31852528	hmm
0	16	0.3146744	0.38557217	hmm
0	17	0.4662741	0.35197222	hmm
0	18	2.2480216	0.69849765	hmm
0	19	0.43139565	0.10103729	hmm
0	20	2.8358653	0.8344223	hmm
0	21	2.064033	0.7233496	hmm
0	22	0.9008919	0.054857172	hmm
0	23	0.3388658	0.11192601	hmm
0	24	0.33202213	0.32744294	hmm
0	25	1.5265306	0.622826	hmm
0	26	6.1906123	0.97999996	hmm
0	27	1.0517623	0.5633139	hmm
0	28	3.2126265	0.8786118	hmm
0	29	0.28494346	0.15693499	hmm
0	30	3.3202586	0.83883595	hmm
0	31	1.7449274	0.7940848	hmm
0	32	0.61855537	0.53330886	hmm
0	33	0.2894153	0.41412294	hmm
0	34	0.28746065	0.09428635	hmm
0	35	3.2667928	0.9046862	hmm
0	36	3.129228	0.78464895	hmm
0	37	0.30541295	0.73629975	hmm
0	38	0.5704896	0.45214584	hmm
0	39	0.89661676	0.3141606	hmm
0	40	0.5700996	0.35414466	hmm
0	41	1.5254569	0.73797137	hmm
0	42	1.4662874	0.64115477	hmm
0	43	0.95165884	0.34925473	hmm
0	44	4.6824045	0.91999996	hmm
0	45	3.3017178	0.95125157	hmm
0	46	1.0918915	0.716079	hmm
0	47	0.33837575	0.48844305	hmm
0	48	0.9089799	0.37353966	hmm
0	49	0.34206724	0.102778345	hmm
0	50	4.353624	0.93	hmm
0	51	0.41420808	0.4197685	hmm
0	52	0.4098601	0.4564509	hmm
0	53	2.0047052	0.672817	hmm
0	54	0.5402309	0.24840246	hmm
0	55	2.2475767	0.69970655	hmm
0	56	1.3809166	0.17520888	hmm
0	57	0.49430764	0.2781412	hmm
0	58	1.0646386	0.51444286	hmm
0	59	0.3810643	0.12782294	hmm
0	60	0.43557972	0.12482498	hmm
0	61	3.1312919	0.85698193	hmm
0	62	3.3654315	0.86280656	hmm
0	63	0.5002749	0.32058266	hmm
0	64	0.87734544	0.036947906	hmm
0	65	0.48523086	0.56079274	hmm
0	66	3.1895382	0.7980048	hmm
0	67	1.505634	0.10950103	hmm
0	68	0.3089695	0.6086309	hmm
0	69	1.4742953	0.7282047	hmm
0	70	1.0427171	0.2989032	hmm
0	71	1.8367727	0.69753164	hmm
0	72	3.8250642	0.8549463	hmm
0	73	2.0188413	0.5863033	hmm
0	74	2.631406	0.80992794	hmm
0	75	2.9896238	0.7672791	hmm
0	76	1.0185878	0.25028023	hmm
0	77	1.0901598	0.07729575	hmm
0	78	1.8366914	0.12623493	hmm
0	79	1.4878175	0.34146053	hmm
0	80	4.8588123	0.9433345	hmm
0	81	3.2409492	0.8230792	hmm
0	82	6.20427	0.97999996	hmm
0	83	3.834744	0.8068596	hmm
0	84	1.218116	0.26270306	hmm
0	85	3.4333153	0.8659566	hmm
0	86	1.7115967	0.7465283	hmm
0	87	4.005359	0.838117	hmm
0	88	2.2456005	0.6341747	hmm
1	1	0.33363333	0.65789515	hmm
1	2	0.2762575	0.7418534	hmm
1	3	0.2962976	0.54818475	hmm
1	4	0.3334385	0.7057487	hmm
1	5	0.29611152	0.18042615	hmm
1	6	0.30064288	0.33269197	hmm
1	7	0.29788217	0.34442344	hmm
1	8	0.29623774	0.30465838	hmm
1	9	0.28601983	0.093504936	hmm
1	10	0.3341114	0.2558454	hmm
1	11	0.33808342	0.70171076	hmm
1	12	0.2801423	0.30257902	hmm
1	13	2.496849	0.72822756	hmm
1	14	0.7908951	0.046004098	hmm
1	15	0.38319868	0.2045773	hmm
1	16	0.39344323	0.45275325	hmm
1	17	0.9826586	0.23728578	hmm
1	18	0.71215194	0.40397042	hmm
1	19	0.6245966	0.48143965	hmm
1	20	0.44411236	0.4899459	hmm
1	21	0.40291572	0.46195453	hmm
1	22	2.0402505	0.8350346	hmm
1	23	0.3666398	0.31157795	hmm
1	24	3.178346	0.8239245	hmm
1	25	0.6429819	0.40561947	hmm
1	26	0.2764591	0.5915076	hmm
1	27	1.6728925	0.7781937	hmm
1	28	0.38256812	0.10450758	hmm
1	29	0.28191328	0.027425596	hmm
1	30	0.3645201	0.73309964	hmm
1	31	0.80531967	0.42973205	hmm
1	32	0.5744742	0.41841516	hmm
1	33	0.33346692	0.69539076	hmm
1	34	0.30065465	0.41412988	hmm
1	35	0.28172308	0.22332385	hmm
1	36	0.569234	0.4219906	hmm
1	37	0.3380394	0.39785188	hmm
1	38	1.2165807	0.14638342	hmm
1	39	0.6179343	0.20524597	hmm
1	40	0.52845454	0.35456863	hmm
1	41	0.6138476	0.295248	hmm
1	42	1.1629522	0.31695196	hmm
1	43	4.9991956	0.94	hmm
1	44	0.5197963	0.43472525	hmm
1	45	0.48063675	0.6519317	hmm
1	46	1.0967805	0.45673895	hmm
1	47	0.41064698	0.06359263	hmm
1	48	0.5617521	0.05201737	hmm
1	49	0.2801919	0.43369943	hmm
1	50	0.5481616	0.41295007	hmm
1	51	6.178297	0.98999995	hmm
1	52	0.3293275	0.06479495	hmm
1	53	1.0639737	0.19462626	hmm
1	54	0.4486188	0.61096823	hmm
1	55	3.9679544	0.8783624	hmm
1	56	0.9310504	0.01585922	hmm
1	57	3.0289712	0.82860553	hmm
1	58	2.2238274	0.854635	hmm
1	59	2.8465292	0.87049073	hmm
1	60	1.0954549	0.68673897	hmm
1	61	0.5193298	0.49529958	hmm
1	62	8.771603	1.0	hmm
1	63	2.5034935	0.710439	hmm
1	64	1.708707	0.75602597	hmm
1	65	2.0379784	0.81604373	hmm
1	66	3.2080677	0.8505656	hmm
1	67	1.7479088	0.60088176	hmm
1	68	0.57221174	0.16897908	hmm
1	69	4.170997	0.9504224	hmm
1	70	0.9261235	0.16364278	hmm
1	71	1.7903324	0.5865796	hmm
1	72	1.588936	0.65219367	hmm
1	73	1.5910306	0.45353758	hmm
1	74	1.0916533	0.27631602	hmm
1	75	3.2130036	0.7602795	hmm
1	76	1.8952959	0.6867362	hmm
1	77	0.5169617	0.14012566	hmm
1	78	2.1538913	0.35341543	hmm
1	79	1.5613383	0.37189582	hmm
1	80	1.9951293	0.64454	hmm
1	81	0.9678464	0.009781613	hmm
1	82	3.4177315	0.91096944	hmm
1	83	1.5408448	0.7277918	hmm
1	84	4.409202	0.8440457	hmm
1	85	3.7726338	0.83158773	hmm
1	86	1.6217186	0.83128035	hmm
1	87	4.55112	0.96999997	hmm
1	88	5.2750626	0.9106836	hmm
2	1	0.25326976	0.22369286	hmm
2	2	0.31427038	0.74954677	hmm
2	3	0.25916338	0.75019306	hmm
2	4	0.25260738	0.17064138	hmm
2	5	0.27468264	0.34202018	hmm
2	6	0.31405684	0.4999983	hmm
2	7	0.274494	0.4796779	hmm
2	8	0.3143987	0.5473504	hmm
2	9	0.2751733	0.42937556	hmm
2	10	0.2744941	0.6932268	hmm
2	11	0.31483167	0.09881667	hmm
2	12	0.25916338	0.72372264	hmm
2	13	0.46205574	0.48697263	hmm
2	14	0.49521512	0.2666107	hmm
2	15	5.0377274	0.95	hmm
2	16	2.4983623	0.7108537	hmm
2	17	0.9709626	0.12112343	hmm
2	18	0.45616803	0.37166318	hmm
2	19	0.38606238	0.39975828	hmm
2	20	0.3891045	0.5395641	hmm
2	21	0.4789625	0.69479364	hmm
2	22	0.8974606	0.058761913	hmm
2	23	0.2972967	0.05142228	hmm
2	24	0.32498938	0.751673	hmm
2	25	1.6839856	0.74593055	hmm
2	26	0.3196432	0.5363741	hmm
2	27	0.40335453	0.08883061	hmm
2	28	0.33973396	0.10309576	hmm
2	29	0.3148229	0.2447288	hmm
2	30	0.33629334	0.6703569	hmm
2	31	1.3919951	0.74390924	hmm
2	32	1.1830547	0.47971302	hmm
2	33	0.25342262	0.49965972	hmm
2	34	0.3161443	0.40474552	hmm
2	35	0.25283998	0.2555637	hmm
2	36	2.3288357	0.7302605	hmm
2	37	0.31918547	0.6392619	hmm
2	38	1.4307234	0.63436526	hmm
2	39	0.85133624	0.28024983	hmm
2	40	0.62166226	0.27689743	hmm
2	41	0.56137305	0.3785421	hmm
2	42	1.4415333	0.5333031	hmm
2	43	5.0770288	0.9771141	hmm
2	44	0.56072867	0.22658174	hmm
2	45	3.2273972	0.73704016	hmm
2	46	0.51374066	0.34252986	hmm
2	47	0.5818374	0.27711734	hmm
2	48	0.37761772	0.2980145	hmm
2	49	0.25906247	0.19918588	hmm
2	50	0.52812386	0.1877202	hmm
2	51	0.3306032	0.38929802	hmm
2	52	0.27324563	0.17206895	hmm
2	53	5.036815	0.9729822	hmm
2	54	3.6053941	0.89812714	hmm
2	55	0.62289846	0.49443403	hmm
2	56	1.2027574	0.1852531	hmm
2	57	3.102399	0.837487	hmm
2	58	1.2427034	0.5274937	hmm
