subject_id	rank	probability
1	0	0.84681046
2	0	0.84681046
3	0	0.84681046
4	0	0.84681046
5	0	0.84681046
6	0	0.84681046
7	0	0.84681046
8	0	0.84681046
9	0	0.84681046
10	0	0.84681046
11	0	0.84681046
12	0	0.84681046
13	0	0.34768882
14	0	0.30652064
15	0	0.30652064
16	0	0.34768882
17	0	0.33510065
18	0	0.37850612
19	0	0.5501296
20	0	0.5309701
21	0	0.34636253
22	0	0.34636253
23	0	0.8146627
24	0	0.8146627
25	0	0.38370046
26	0	0.8467695
27	0	0.38783437
28	0	0.40112767
29	0	0.8467866
30	0	0.4122318
31	0	0.34049577
32	0	0.4077993
33	0	0.84680086
34	0	0.8468066
35	0	0.84680986
36	0	0.30601424
37	0	0.8468104
38	0	0.46080163
39	0	0.35063684
40	0	0.6536713
41	0	0.41461426
42	0	0.33417836
43	0	0.34636208
44	0	0.38292044
45	0	0.7715238
46	0	0.40577954
47	0	0.41390836
48	0	0.3462584
49	0	0.84680796
50	0	0.3444917
51	0	0.81639165
52	0	0.4144648
53	0	0.31945834
54	0	0.3401141
55	0	0.37844515
56	0	0.23753348
57	0	0.67886597
58	0	0.45888147
59	0	0.53048784
60	0	0.5500358
61	0	0.76958925
62	0	0.5307735
63	0	0.34768826
64	0	0.3390275
65	0	0.34635463
66	0	0.8264189
67	0	0.30742618
68	0	0.41447327
69	0	0.32660925
70	0	0.3518046
71	0	0.20525406
72	0	0.38081557
73	0	0.45770732
74	0	0.44870242
75	0	0.6498582
76	0	0.3837661
77	0	0.5193435
78	0	0.26207313
79	0	0.24111691
80	0	0.21555261
81	0	0.19808087
82	0	0.3445265
83	0	0.21995987
84	0	0.24821846
85	0	0.39603326
86	0	0.40229136
87	0	0.16263057
88	0	0.3419769
1	1	0.08037906
2	1	0.08037906
3	1	0.08037906
4	1	0.08037906
5	1	0.08037906
6	1	0.08037906
7	1	0.08037906
8	1	0.08037906
9	1	0.08037906
10	1	0.08037906
11	1	0.08037906
12	1	0.08037906
13	1	0.27739298
14	1	0.23732704
15	1	0.23732704
16	1	0.27739298
17	1	0.14997992
18	1	0.16940671
19	1	0.2224606
20	1	0.17130227
21	1	0.14006144
22	1	0.14006144
23	1	0.07732759
24	1	0.07732759
25	1	0.15516005
26	1	0.08037516
27	1	0.17358182
28	1	0.20331302
29	1	0.08037682
30	1	0.2089413
31	1	0.15239458
32	1	0.16490528
33	1	0.08037815
34	1	0.0803787
35	1	0.08037902
36	1	0.24414428
37	1	0.08037905
38	1	0.18633819
39	1	0.15547991
40	1	0.08527863
41	1	0.16766101
42	1	0.14956719
43	1	0.14006121
44	1	0.15484473
45	1	0.07323287
46	1	0.16408837
47	1	0.20979103
48	1	0.14001931
49	1	0.080378845
50	1	0.13930498
51	1	0.0774917
52	1	0.210073
53	1	0.12918197
54	1	0.27134982
55	1	0.1693795
56	1	0.22397016
57	1	0.08856551
58	1	0.18556169
59	1	0.17114662
60	1	0.22242257
61	1	0.07304925
62	1	0.1712388
63	1	0.2773927
64	1	0.13709535
65	1	0.1400582
66	1	0.0784435
67	1	0.124316506
68	1	0.21007727
69	1	0.14617944
70	1	0.14226216
71	1	0.14933714
72	1	0.15399352
73	1	0.18508692
74	1	0.14476086
75	1	0.08478118
76	1	0.15518667
77	1	0.21001127
78	1	0.117295265
79	1	0.10791598
80	1	0.16466032
81	1	0.1441181
82	1	0.2748703
83	1	0.16003667
84	1	0.18059684
85	1	0.16014732
86	1	0.16267787
87	1	0.12423324
88	1	0.138288
1	2	0.032503564
2	2	0.032503564
3	2	0.032503564
4	2	0.032503564
