subject_id	trial	response_type	probability
89	0	0	0.079233065
89	1	0	0.01767921
89	2	0	0.0093210125
89	3	0	0.008079212
89	4	0	0.007921763
89	5	0	0.007900859
89	6	0	0.007897994
89	7	0	0.007897593
89	8	0	0.007897536
89	9	0	0.007897528
89	10	0	0.007897527
89	11	0	0.007897527
89	12	0	0.007897526
89	13	0	0.007897526
89	14	0	0.007897526
89	15	0	0.007897526
89	16	0	0.007897527
89	17	0	0.007897526
89	18	0	0.007897526
89	19	0	0.007897526
89	20	0	0.007897526
89	21	0	0.007897527
89	22	0	0.007897527
89	23	0	0.007897526
89	24	0	0.007897527
90	0	0	0.05045594
90	1	0	0.04600535
90	2	0	0.013553449
90	3	0	0.009327752
90	4	0	0.008750194
90	5	0	0.0086663645
90	6	0	0.008009177
90	7	0	0.00791241
90	8	0	0.007899587
90	9	0	0.007897831
90	10	0	0.007897569
90	11	0	0.007897534
90	12	0	0.007897529
90	13	0	0.007897529
90	14	0	0.007897529
90	15	0	0.007897528
90	16	0	0.007897529
90	17	0	0.007897529
90	18	0	0.007897529
90	19	0	0.00789753
90	20	0	0.00789753
90	21	0	0.00789753
90	22	0	0.00789753
90	23	0	0.00789753
90	24	0	0.007897532
91	0	0	0.27486196
91	1	0	0.04649779
91	2	0	0.013443209
91	3	0	0.008699769
91	4	0	0.008012134
91	5	0	0.007914125
91	6	0	0.007899875
91	7	0	0.007897872
91	8	0	0.007897577
91	9	0	0.0078975335
91	10	0	0.007897528
91	11	0	0.007897526
91	12	0	0.007897526
91	13	0	0.007897526
91	14	0	0.007897526
91	15	0	0.007897528
91	16	0	0.007897528
91	17	0	0.007897528
91	18	0	0.007897528
91	19	0	0.007897529
91	20	0	0.007897528
91	21	0	0.007897528
91	22	0	0.007897528
91	23	0	0.007897527
91	24	0	0.007897527
92	0	0	0.087904125
92	1	0	0.019363627
92	2	0	0.00955715
92	3	0	0.008133653
92	4	0	0.007931953
92	5	0	0.007902542
92	6	0	0.007898168
92	7	0	0.007897615
92	8	0	0.007897542
92	9	0	0.007897531
92	10	0	0.00789753
92	11	0	0.007897529
92	12	0	0.007897528
92	13	0	0.00789753
92	14	0	0.00789753
92	15	0	0.007897529
92	16	0	0.00789753
92	17	0	0.00789753
92	18	0	0.007897531
92	19	0	0.00789753
92	20	0	0.00789753
92	21	0	0.00789753
92	22	0	0.00789753
92	23	0	0.00789753
92	24	0	0.00789753
93	0	0	0.06824369
93	1	0	0.06241786
93	2	0	0.015752316
93	3	0	0.009033369
93	4	0	0.008060767
93	5	0	0.007921225
93	6	0	0.007900991
93	7	0	0.0078980345
93	8	0	0.007897591
93	9	0	0.007897538
93	10	0	0.007897532
93	11	0	0.007897531
93	12	0	0.007897531
93	13	0	0.00789753
93	14	0	0.00789753
93	15	0	0.007897528
93	16	0	0.007897528
93	17	0	0.007897529
93	18	0	0.007897528
93	19	0	0.007897528
93	20	0	0.00789753
93	21	0	0.00789753
93	22	0	0.00789753
93	23	0	0.007897531
93	24	0	0.00789753
94	0	0	0.01682945
94	1	0	0.009173688
94	2	0	0.00808313
94	3	0	0.0079244925
94	4	0	0.007901081
94	5	0	0.007898013
94	6	0	0.007897597
94	7	0	0.007897539
94	8	0	0.007897531
94	9	0	0.00789753
94	10	0	0.007897529
94	11	0	0.007897529
94	12	0	0.007897528
94	13	0	0.007897529
94	14	0	0.007897529
94	15	0	0.007897529
94	16	0	0.007897528
94	17	0	0.007897529
94	18	0	0.007897528
94	19	0	0.007897529
94	20	0	0.007897529
94	21	0	0.007897529
94	22	0	0.007897529
94	23	0	0.007897528
94	24	0	0.007897528
95	0	0	0.016914641
95	1	0	0.009202362
95	2	0	0.008086312
95	3	0	0.007924319
95	4	0	0.007901365
95	5	0	0.007898086
95	6	0	0.007897609
95	7	0	0.007897539
95	8	0	0.007897528
95	9	0	0.007897527
95	10	0	0.007897527
95	11	0	0.007897527
95	12	0	0.007897527
95	13	0	0.007897527
95	14	0	0.007897527
95	15	0	0.007897527
95	16	0	0.007897526
