subject_id	trial	strategy	probability
89	0	0	0.21920002
89	1	0	0.030057183
89	2	0	0.004374088
89	3	0	0.000558281
89	4	0	7.447033e-05
89	5	0	1.0239897e-05
89	6	0	1.4359142e-06
89	7	0	2.0382296e-07
89	8	0	2.9148316e-08
89	9	0	4.1892334e-09
89	10	0	6.060356e-10
89	11	0	8.6685756e-11
89	12	0	1.259973e-11
89	13	0	1.8297544e-12
89	14	0	2.4353184e-13
89	15	0	3.3605737e-14
89	16	0	4.886314e-15
89	17	0	6.337743e-16
89	18	0	8.5504826e-17
89	19	0	1.1845895e-17
89	20	0	1.6697436e-18
89	21	0	2.3850287e-19
89	22	0	3.4954404e-20
89	23	0	5.8029757e-21
89	24	0	1.6060067e-21
90	0	0	0.13077357
90	1	0	0.1170978
90	2	0	0.01737953
90	3	0	0.0043947874
90	4	0	0.0026200656
90	5	0	0.0023624739
90	6	0	0.00034305852
90	7	0	4.571582e-05
90	8	0	6.3131197e-06
90	9	0	9.178433e-07
90	10	0	1.1926824e-07
90	11	0	1.6111459e-08
90	12	0	2.233856e-09
90	13	0	3.1494882e-10
90	14	0	4.4916765e-11
90	15	0	6.5028876e-12
90	16	0	9.12873e-13
90	17	0	1.2999409e-13
90	18	0	1.8941422e-14
90	19	0	2.7561827e-15
90	20	0	3.5303844e-16
90	21	0	4.7347987e-17
90	22	0	6.6654673e-18
90	23	0	1.0779246e-18
90	24	0	2.9381895e-19
91	0	0	0.82032895
91	1	0	0.11861098
91	2	0	0.017040785
91	3	0	0.0024651303
91	4	0	0.00035216418
91	5	0	5.100311e-05
91	6	0	7.2126763e-06
91	7	0	1.0550391e-06
91	8	0	1.5400228e-07
91	9	0	1.8539726e-08
91	10	0	2.3695685e-09
91	11	0	3.1901798e-10
91	12	0	4.666379e-11
91	13	0	5.782607e-12
91	14	0	8.5366225e-13
91	15	0	7.9580914e-14
91	16	0	7.818226e-15
91	17	0	8.2016263e-16
91	18	0	9.248192e-17
91	19	0	1.1175409e-17
91	20	0	1.4314541e-18
91	21	0	1.9198045e-19
91	22	0	2.7026269e-20
91	23	0	4.3706285e-21
91	24	0	1.1913388e-21
92	0	0	0.24584448
92	1	0	0.035233054
92	2	0	0.005099686
92	3	0	0.0007255607
